Titulo;Rua;Metros;Quartos;Banheiro;Garagem;Preço;Link;Id;Concatenados
Setor Marista, Goiânia;Rua 1124;157 m²;3;4;0;R$ 1.523.958;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-157m2-id-2786265638/?source=ranking%2Crp;2786265638;Setor Marista, GoiâniaRua 1124157 m²34R$ 1.523.958
Setor Marista, Goiânia;Rua 148;365 m²;4;5;4;R$ 5.315.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-quadra-poliesportiva-setor-marista-goiania-365m2-id-2799794959/?source=ranking%2Crp;2799794959;Setor Marista, GoiâniaRua 148365 m²45R$ 5.315.000
Setor Marista, Goiânia;Avenida D;80 m²;2;2;1;R$ 840.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-setor-marista-goiania-80m2-id-2806484907/?source=ranking%2Crp;2806484907;Setor Marista, GoiâniaAvenida D80 m²22R$ 840.000
Setor Marista, Goiânia;Rua 1138;195 m²;3;4;3;R$ 2.280.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-195m2-id-2794555614/?source=ranking%2Crp;2794555614;Setor Marista, GoiâniaRua 1138195 m²34R$ 2.280.000
Setor Marista, Goiânia;Rua 1141;300 m²;5;5;4;R$ 3.849.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-5-quartos-mobiliado-setor-marista-goiania-300m2-id-2664227594/?source=ranking%2Crp;2664227594;Setor Marista, GoiâniaRua 1141300 m²55R$ 3.849.000
Setor Marista, Goiânia;Rua 34-A;166 m²;3;4;3;R$ 1.850.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-166m2-id-2740064116/?source=ranking%2Crp;2740064116;Setor Marista, GoiâniaRua 34-A166 m²34R$ 1.850.000
Setor Marista, Goiânia;Rua 1128;71 m²;2;2;1;R$ 865.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-setor-marista-goiania-71m2-id-2805758827/?source=ranking%2Crp;2805758827;Setor Marista, GoiâniaRua 112871 m²22R$ 865.000
Setor Marista, Goiânia;Alameda Ricardo Paranhos;265 m²;3;5;5;R$ 3.500.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-265m2-id-2738156439/?source=ranking%2Crp;2738156439;Setor Marista, GoiâniaAlameda Ricardo Paranhos265 m²35R$ 3.500.000
Setor Marista, Goiânia;Alameda Doutor Sebastião Fleury;411 m²;4;6;4;R$ 6.971.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-mobiliado-setor-marista-goiania-411m2-id-2740064315/?source=ranking%2Crp;2740064315;Setor Marista, GoiâniaAlameda Doutor Sebastião Fleury411 m²46R$ 6.971.000
Setor Marista, Goiânia;Rua 138;47 m²;1;1;1;R$ 540.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-mobiliado-setor-marista-goiania-47m2-id-2806215919/?source=ranking%2Crp;2806215919;Setor Marista, GoiâniaRua 13847 m²11R$ 540.000
